log[Age(Myr)] 3254_MASS
2.6989700043360187 0.000650283
2.7484376745664973 0.000510344
2.7979056993527007 0.000332847
2.8473739733267314 0.000261137
2.8968413524209744 0.000179627
2.9463092780221425 0.000108197
2.9957773040840703 0.000287931
3.045244720478147 0.000715271
3.0947121423588384 0.000770591
3.1441817643668375 0.00471662
3.1936476637667615 0.00629111
3.243117455274604 0.0160347
3.292583884255552 0.0213199
3.3420533735347466 0.033039
3.3915208329544204 0.0454454
3.440987751476157 0.0661812
3.490455735894072 0.0740105
3.539923776965465 0.112372
3.5893921410106087 0.130404
3.6388594973752038 0.232267
3.688328147713719 0.242601
3.7377959405311976 0.311681
3.7872634741087965 0.341994
3.836731629478519 0.593182
3.8861995939089495 0.87166
3.9356674516452066 1.28177
3.985135349823362 1.88643
4.034604395322679 2.77459
4.084071989200302 3.84917
4.133538908370218 6.22121
