log[Age(Myr)] 3565_SAD
2.6989700043360187 0.000219245
2.7484376745664973 0.00040025
2.7979056993527007 0.000581765
2.8473739733267314 0.000538895
2.8968413524209744 0.000894128
2.9463092780221425 0.000972328
2.9957773040840703 0.00143542
3.045244720478147 0.00156632
3.0947121423588384 0.00261572
3.1441817643668375 0.00329455
3.1936476637667615 0.00450008
3.243117455274604 0.00587324
3.292583884255552 0.0079869
3.3420533735347466 0.00998061
3.3915208329544204 0.0124969
3.440987751476157 0.0167275
3.490455735894072 0.0172378
3.539923776965465 0.0195233
3.5893921410106087 0.0237317
3.6388594973752038 0.0293152
3.688328147713719 0.0365237
3.7377959405311976 0.0408159
3.7872634741087965 0.0551018
3.836731629478519 0.0550076
3.8861995939089495 0.0638026
3.9356674516452066 0.0741653
3.985135349823362 0.0943417
4.034604395322679 0.110367
4.084071989200302 0.141454
4.133538908370218 0.16853
