log[Age(Myr)] 3639_SFR
2.6989700043360187 9.11873e-11
2.7484376745664973 8.74624e-11
2.7979056993527007 8.99189e-11
2.8473739733267314 7.16042e-11
2.8968413524209744 5.13906e-11
2.9463092780221425 3.10627e-11
2.9957773040840703 1.99851e-11
3.045244720478147 3.61947e-12
3.0947121423588384 1.30273e-11
3.1441817643668375 3.71865e-11
3.1936476637667615 1.25681e-10
3.243117455274604 8.72111e-11
3.292583884255552 1.03844e-10
3.3420533735347466 6.7319e-11
3.3915208329544204 1.20658e-10
3.440987751476157 2.08437e-10
3.490455735894072 1.78539e-10
3.539923776965465 1.32987e-10
3.5893921410106087 2.49411e-10
3.6388594973752038 2.98742e-10
3.688328147713719 3.25177e-10
3.7377959405311976 4.25314e-10
3.7872634741087965 3.01873e-10
3.836731629478519 3.92941e-10
3.8861995939089495 6.19e-10
3.9356674516452066 9.05792e-10
3.985135349823362 1.39308e-09
4.034604395322679 2.44297e-09
4.084071989200302 3.67357e-09
4.133538908370218 5.05876e-09
