log[Age(Myr)] 3269_SFR
2.6989700043360187 1.55826e-10
2.7484376745664973 1.01751e-10
2.7979056993527007 2.70741e-11
2.8473739733267314 4.61593e-12
2.8968413524209744 4.0499e-13
2.9463092780221425 3.71627e-15
2.9957773040840703 2.54988e-15
3.045244720478147 7.56678e-12
3.0947121423588384 3.84895e-15
3.1441817643668375 1.65845e-13
3.1936476637667615 1.12766e-14
3.243117455274604 2.54402e-14
3.292583884255552 8.20969e-14
3.3420533735347466 1.3689e-12
3.3915208329544204 2.17778e-12
3.440987751476157 1.36953e-11
3.490455735894072 2.01741e-11
3.539923776965465 3.82884e-11
3.5893921410106087 4.96085e-11
3.6388594973752038 5.51857e-11
3.688328147713719 1.14764e-10
3.7377959405311976 1.88655e-10
3.7872634741087965 3.09753e-10
3.836731629478519 3.44832e-10
3.8861995939089495 1.64399e-10
3.9356674516452066 5.25783e-10
3.985135349823362 7.75856e-10
4.034604395322679 1.59128e-09
4.084071989200302 3.74284e-09
4.133538908370218 5.73879e-09
