log[Age(Myr)] 3639_MASS
2.6989700043360187 0.00519596
2.7484376745664973 0.00558497
2.7979056993527007 0.00643455
2.8473739733267314 0.00574214
2.8968413524209744 0.00461835
2.9463092780221425 0.00312831
2.9957773040840703 0.00225552
3.045244720478147 0.000457775
3.0947121423588384 0.00184641
3.1441817643668375 0.00590646
3.1936476637667615 0.0223706
3.243117455274604 0.017396
3.292583884255552 0.0232127
3.3420533735347466 0.0168637
3.3915208329544204 0.0338718
3.440987751476157 0.065573
3.490455735894072 0.0629433
3.539923776965465 0.0525407
3.5893921410106087 0.110426
3.6388594973752038 0.148224
3.688328147713719 0.180805
3.7377959405311976 0.265013
3.7872634741087965 0.21079
3.836731629478519 0.307483
3.8861995939089495 0.542815
3.9356674516452066 0.890138
3.985135349823362 1.53416
4.034604395322679 3.01496
4.084071989200302 5.08067
4.133538908370218 7.84051
