log[Age(Myr)] 3291_MASS
2.6989700043360187 0.000112671
2.7484376745664973 0.000114507
2.7979056993527007 0.000111004
2.8473739733267314 0.000132518
2.8968413524209744 0.000320035
2.9463092780221425 0.000406026
2.9957773040840703 0.000552766
3.045244720478147 0.00125073
3.0947121423588384 0.00458288
3.1441817643668375 0.00674695
3.1936476637667615 0.0136959
3.243117455274604 0.0232784
3.292583884255552 0.033481
3.3420533735347466 0.0646869
3.3915208329544204 0.0773393
3.440987751476157 0.0924885
3.490455735894072 0.108203
3.539923776965465 0.13654
3.5893921410106087 0.170568
3.6388594973752038 0.228097
3.688328147713719 0.259385
3.7377959405311976 0.337239
3.7872634741087965 0.438991
3.836731629478519 0.714314
3.8861995939089495 0.583774
3.9356674516452066 1.19856
3.985135349823362 1.75312
4.034604395322679 2.21984
4.084071989200302 3.10207
4.133538908370218 4.49542
