"v (km/s)" BF[g(v)]
-1003.98 0.00682987
-979.531 0.00179858
-955.082 0.000473456
-930.63 0.000129961
-906.177 4.28837e-05
-881.722 3.27456e-05
-857.265 7.66574e-05
-832.805 0.000255283
-808.344 0.000716948
-783.881 0.00146871
-759.416 0.00216087
-734.949 0.00239536
-710.479 0.00221127
-686.008 0.00194419
-661.535 0.00187703
-637.06 0.0021826
-612.582 0.00286321
-588.103 0.00383463
-563.622 0.00497205
-539.139 0.00609661
-514.653 0.00720559
-490.166 0.00853351
-465.677 0.010388
-441.186 0.012861
-416.692 0.0156255
-392.197 0.0181317
-367.7 0.0200772
-343.2 0.021772
-318.699 0.0239393
-294.196 0.0270117
-269.691 0.0305711
-245.183 0.0335092
-220.674 0.0349748
-196.163 0.0352865
-171.649 0.0356913
-147.134 0.0370426
-122.617 0.0390498
-98.0974 0.0406934
-73.5761 0.0410434
-49.0527 0.0399556
-24.5274 0.0380909
-2.66269e-10 0.0363202
24.5294 0.0350571
49.0607 0.0339571
73.5941 0.0322687
98.1295 0.029541
122.667 0.0261519
147.206 0.023036
171.748 0.0207268
196.291 0.0191124
220.837 0.017844
245.384 0.0164666
269.933 0.0145534
294.485 0.0120784
319.038 0.00952576
343.594 0.00750396
368.151 0.00628164
392.711 0.00570718
417.272 0.00539477
441.836 0.00490037
466.401 0.00401247
490.969 0.0029655
515.538 0.00213968
540.11 0.00172217
564.683 0.00174683
589.259 0.00232488
613.837 0.00361949
638.416 0.00115173
662.998 0.000576957
687.581 0.000548319
712.167 0.000792696
736.755 0.0011705
761.344 0.00132472
785.936 0.00107241
810.53 0.000654292
835.125 0.000355098
859.723 0.000213145
884.323 0.000146983
908.924 0.000112671
933.528 0.000111288
958.134 0.000178764
982.742 0.000512897
1007.35 0.00223744
