GMP,tinf-tperi,et+,et-,Msinf-Msperi,em+,em-,logMs,elogMs
3254,4.032330987546251,1.0482711948541077,0.8676883950226748,8.425076848568374,0.5971404075842326,0.8744514818868838,9.92,0.6020599913279624
3269,3.811191472878777,1.4532323144424968,1.3276393681759884,8.450175011222102,0.3673101551253666,0.8770356238629731,9.98,0.6020599913279624
3291,4.015878182255676,1.0805186932236346,1.2199912323819264,8.353342707117267,0.45035885903077677,0.4271563540823484,9.92,0.6020599913279624
3352,3.821063195528387,0.830472682796759,1.4591767601966308,8.674186533547402,1.2880246954011785,1.5015959440165458,10.62,0.6020599913279624
3367,3.753661111106295,0.9784604943082229,1.0135371391174832,9.009065325379648,0.5670207636485554,2.1203314692481348,10.65,0.6020599913279624
3414,3.7887376642864736,1.3165390507355883,1.8192807560804738,9.261821291833638,0.5532577090846065,1.3001152733407793,10.73,0.6020599913279624
3484,3.753661111106295,1.068843188022818,1.1411880538213914,8.586215785541302,0.5108154558858669,0.881534342960113,10.11,0.6020599913279624
3534,3.715886827503842,0.9666455522514803,0.8918011835958142,8.040342822538278,0.5160455238809067,0.19448366313007703,9.67,0.6020599913279624
3565,3.7301249763413953,1.3498190938473407,1.1466189219543281,7.939716430726706,0.35247499638325674,0.48323221774973213,9.29,0.6020599913279624
3639,3.642663188340112,0.9808301507439898,1.1784908697686451,9.28210366456089,0.4584685527828416,1.1668960877965375,10.6,0.6020599913279624
3664,3.5043305726444576,1.34640948390566,1.5119070696662118,9.440387956967545,0.5623801744675117,2.937956169820512,10.82,0.6020599913279624
