GMP,tinf-tperi,et+,et-,Msinf-Msperi,em+,em-,logMs,elogMs
3254,4.071454061634888,1.019677916151438,0.881286689994417,8.131422880038716,0.6555051076723775,0.24190476744073752,9.92,0.6020599913279624
3269,3.811191472878777,1.4532323144424968,1.3276393681759884,8.472877674457866,0.41652580391930094,0.2268943039253859,9.98,0.6020599913279624
3291,4.015878182255676,1.0805186932236346,1.2199912323819264,8.507116088158583,0.14098147830457108,0.1509652146044811,9.92,0.6020599913279624
3352,3.6061443557173183,0.9122809231642419,1.3915929042642734,8.846433645545272,0.9959240026305949,0.6014155254542626,10.62,0.6020599913279624
3367,3.623608742183886,1.183598878582087,0.9119189416654407,9.220979799250813,0.4099961450191074,0.7265271113718921,10.65,0.6020599913279624
3414,3.7887376642864736,1.3165390507355883,1.8192807560804738,9.12862267744654,0.6687049425986782,0.6956537086152306,10.73,0.6020599913279624
3484,3.753661111106295,1.068843188022818,1.1411880538213914,8.657227334082602,0.38374372674224766,0.5717886443561273,10.11,0.6020599913279624
3534,3.7081550056623325,1.013567505814736,0.9538929803698135,8.209524946989712,0.1966157296295794,0.2424697605672943,9.67,0.6020599913279624
3565,3.4935563732614767,1.5863876969272592,1.3205170445665262,7.800817498639565,0.1456760354474005,0.24692174374675435,9.29,0.6020599913279624
3639,3.642663188340112,1.0974599304679362,1.4598851098234862,9.307916197224937,0.18063778843956513,1.1241573409378027,10.6,0.6020599913279624
3664,3.5043305726444576,1.34640948390566,1.5119070696662118,9.456762480152037,0.22121556489760685,0.6037334652691637,10.82,0.6020599913279624
