GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,6.054856641098594,3.886013475200251,3.0734883880671036
3269,9.98,13.948212015730238,13.831850233266923,10.700555708444874
3291,9.92,21.79332908398376,9.814154182665025,10.634424852392183
3352,10.62,1.8066972007029447,10.00778747549456,1.3963865901657413
3367,10.65,8.09677878513711,11.17015728937732,5.6612159185415205
3414,10.73,5.187365235283603,11.96819921670983,2.638981748493374
3484,10.11,9.833051963499484,20.939622907289888,7.632878538971033
3534,9.67,16.164589250894878,12.386518038261467,9.98154458245031
3565,9.29,23.688729832043663,15.488362743152578,11.48871910706732
3639,10.6,11.465796755958046,6.502025952443848,7.588552585313615
3664,10.82,14.82414227695204,10.851071494041898,13.279729888127767
