GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,5.634937758312775,3.863867779251601,1.7864644075303393
3269,9.98,11.011192355180977,12.577579637489656,7.753024328456755
3291,9.92,23.022187962913655,11.067041073521011,11.746157147092038
3352,10.62,1.872532799607829,5.879702664742542,1.4694918839019788
3367,10.65,6.960045290708861,8.825597167640003,4.963314534457441
3414,10.73,5.983034611619537,11.898651598307158,3.1926308169844746
3484,10.11,5.7877049945840975,14.037025534747674,5.325644745124456
3534,9.67,16.258390507430736,8.7631393363576,10.969583635301337
3565,9.29,24.649222557610152,5.919213751355883,10.386960910597967
3639,10.6,8.57088886113629,8.12499394534894,4.807579953093926
3664,10.82,16.446302656803603,11.461482497695954,12.008959787776998
