GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,10.44314772526062,14.334090533818852,6.319725694987392
3269,9.98,2.6176945900362734,10.164212618878128,2.0954474273252197
3291,9.92,14.085058632793091,14.118695803738161,6.152914261187048
3352,10.62,7.681789257893257,7.698003024052211,6.314266448094841
3367,10.65,7.1482864259019845,11.317391282012055,6.577789035170265
3414,10.73,4.4810286097269225,15.531174414524315,2.9626602482560997
3484,10.11,2.595669007738066,8.674258116401855,1.438356925209034
3534,9.67,10.053654273690494,5.204808780933414,8.736863575810657
3565,9.29,12.67975870496577,20.32541645325555,7.4266957527228685
3639,10.6,4.5109266106645896,4.128160325672023,2.4308623679048402
3664,10.82,1.3570286069460924,11.97945488879934,1.4995535088872802
