GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,16.252776201689336,25.737358082172506,12.613779147236016
3269,9.98,13.200708901679791,9.3657953651767,11.979850039096284
3291,9.92,10.375640160785625,16.063106054987173,4.410816903286247
3352,10.62,3.510400911486089,13.7959473917913,3.3218478341592492
3367,10.65,15.721743944515175,14.432729245353887,15.417631693500272
3414,10.73,5.144928907831281,27.005682636949533,4.655313411372165
3484,10.11,8.20449631410387,16.37441100480397,6.630617115254579
3534,9.67,15.364549731589127,20.32445884984005,12.550358695105576
3565,9.29,20.16525421263864,35.46468159104815,16.22562091568293
3639,10.6,2.7373381991939394,21.033077543229105,3.1848022630546384
3664,10.82,0.796447363894659,14.418749152824972,1.1363882591504892
