GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,6.892962042569329,23.013215251038737,6.1656340300872845
3269,9.98,6.980395550744406,16.84497146487793,6.45660678509149
3291,9.92,7.772330057241045,10.579886967017437,5.250594815020843
3352,10.62,7.605487859377746,29.81892510955324,7.732175545602885
3367,10.65,5.5309507961330215,24.629747143035317,5.2429390040435955
3414,10.73,11.214124702906886,20.79165880921262,10.411965041191214
3484,10.11,6.193215265171198,17.949750679623456,5.887448371914742
3534,9.67,12.474765167087206,23.81676730891062,9.26853041378078
3565,9.29,15.79247171937782,25.90949658291391,12.614867468565231
3639,10.6,13.596716985267642,14.462716999601982,13.811420089863095
3664,10.82,5.6793195079223535,19.525964493907242,6.168217681453914
