GMP,R-,R,R+,V-,V,V+
3254,0.012372847424825674,0.011092897691223019,0.01005293853267086,0.22159815580666148,0.19886827911562205,0.18038307274735443
3269,0.009939792043870514,0.008911537694504599,0.008076081035644792,0.5317122458452269,0.4771731918572409,0.432818984317899
3291,0.019734080317030653,0.01769262373251024,0.016033940257587406,0.24916011548410727,0.22360313970214252,0.20281877831294604
3329,0.0,0.0,0.0,0.0,0.0,0.0
3352,0.009294920809802784,0.00833337727775422,0.007552123157964762,0.011080842094050622,0.009944252425631196,0.009019914169759505
3367,0.018041883500999882,0.01617548175951714,0.014659030344562405,0.8643430554846895,0.7756852279932721,0.7035837265369446
3414,0.014581028266866457,0.013072646032363031,0.011847085466828996,0.27831039148194786,0.2497633990343265,0.22654738894502907
3484,0.027073295388677542,0.024272609658814347,0.0219970525033005,0.6633182675457352,0.5952800549832495,0.5399475770626183
3534,0.03652308364842654,0.03274483361583069,0.029675005464346562,0.720572399377391,0.6466614874151798,0.5865530020476837
3565,0.040595504137284646,0.036395969226531065,0.03298384711154378,0.01877950472937807,0.016853243992849307,0.015286701080284255
3639,0.05127344351623734,0.04596929418697141,0.04165967285694284,1.4894109288204374,1.3366383273015334,1.2123951074688741
3664,0.0570690155090529,0.0511653242494957,0.04636857510110547,0.2621656232369899,0.23527464001957835,0.21340538921033683
