GMP,n_sat,n_int,int_frac,int_frac_percentage
3254,173.0,7.0,0.03888888888888889,3.888888888888889
3269,149.0,5.0,0.032467532467532464,3.2467532467532463
3291,266.0,7.0,0.02564102564102564,2.564102564102564
3329,5044.0,0.0,0.0,0.0
3352,163.0,3.0,0.018072289156626505,1.8072289156626504
3367,119.0,2.0,0.01652892561983471,1.6528925619834711
3414,145.0,1.0,0.00684931506849315,0.684931506849315
3484,242.0,3.0,0.012244897959183673,1.2244897959183674
3534,351.0,16.0,0.043596730245231606,4.35967302452316
3565,338.0,9.0,0.025936599423631124,2.5936599423631126
3639,237.0,4.0,0.016597510373443983,1.6597510373443984
3664,145.0,3.0,0.02027027027027027,2.027027027027027
