GMP,logMs,logMh-,logMh,logMh+
3254,9.92,11.039591300261264,11.516712554980927,11.99383380970059
3269,9.98,11.072074844533718,11.54919609925338,12.026317353973043
3291,9.92,11.039591300261264,11.516712554980927,11.99383380970059
3329,11.43,14.040648719998533,14.517769974718195,14.994891229437858
3352,10.62,11.689459776624822,12.166581031344485,12.643702286064148
3367,10.65,11.74114666814537,12.218267922865033,12.695389177584696
3414,10.73,11.892982108196916,12.370103362916579,12.847224617636241
3484,10.11,11.149630801599784,11.626752056319447,12.10387331103911
3534,9.67,10.916549204681665,11.393670459401328,11.87079171412099
3565,9.29,10.744573192798281,11.221694447517944,11.698815702237606
3639,10.6,11.65655987068697,12.133681125406632,12.610802380126295
3664,10.82,12.088312045471538,12.5654333001912,13.042554554910863
