GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,7.266962371919499,5.675430209196465,4.9656897724409195
3269,9.98,19.963707747591137,6.014859474523952,12.00470019496937
3291,9.92,25.365864888174848,7.305932825930128,4.778690780221655
3352,10.62,1.6756463165709334,0.8716334781781008,2.072325432127392
3367,10.65,11.227054509281132,5.688969445212514,8.993541986932156
3414,10.73,4.011937206685568,11.332292788729662,2.8760492464313887
3484,10.11,10.637028316568642,19.635706192286,6.125585631487754
3534,9.67,18.763686768911146,8.428268093413006,15.276419071464442
3565,9.29,24.460180702974654,26.314675590725564,12.296636153108349
3639,10.6,9.739216902009995,6.676005175430417,5.735247263438555
3664,10.82,12.094837172854689,9.676008528354231,9.79034513183854
