log[Age(Myr)] 3639_SAD
2.6989700043360187 0.000249312
2.7484376745664973 0.000360205
2.7979056993527007 0.000296239
2.8473739733267314 0.000232757
2.8968413524209744 0.000136602
2.9463092780221425 8.75676e-05
2.9957773040840703 7.90692e-05
3.045244720478147 2.39561e-05
3.0947121423588384 9.08797e-05
3.1441817643668375 0.000258017
3.1936476637667615 0.000531941
3.243117455274604 4.78615e-05
3.292583884255552 7.65942e-05
3.3420533735347466 2.63062e-08
3.3915208329544204 9.29914e-05
3.440987751476157 0.002788
3.490455735894072 0.00846149
3.539923776965465 0.00127841
3.5893921410106087 0.00839048
3.6388594973752038 0.0221
3.688328147713719 0.0147957
3.7377959405311976 0.0269988
3.7872634741087965 0.0229208
3.836731629478519 0.0435613
3.8861995939089495 0.0672893
3.9356674516452066 0.100177
3.985135349823362 0.155614
4.034604395322679 0.132919
4.084071989200302 0.181838
4.133538908370218 0.208303
