log[Age(Myr)] 3534_SFR
2.6989700043360187 2.36485e-12
2.7484376745664973 1.72128e-12
2.7979056993527007 1.43453e-12
2.8473739733267314 1.21497e-12
2.8968413524209744 9.07043e-13
2.9463092780221425 4.97947e-13
2.9957773040840703 7.11246e-14
3.045244720478147 3.01637e-13
3.0947121423588384 3.92758e-12
3.1441817643668375 1.77926e-11
3.1936476637667615 4.33877e-11
3.243117455274604 1.21726e-10
3.292583884255552 2.18286e-10
3.3420533735347466 4.58906e-10
3.3915208329544204 9.14102e-10
3.440987751476157 1.27483e-09
3.490455735894072 1.6065e-09
3.539923776965465 1.98866e-09
3.5893921410106087 1.49555e-09
3.6388594973752038 1.60201e-09
3.688328147713719 1.85642e-09
3.7377959405311976 2.51961e-09
3.7872634741087965 3.72276e-09
3.836731629478519 2.30932e-09
3.8861995939089495 5.93344e-09
3.9356674516452066 3.44245e-09
3.985135349823362 3.5823e-09
4.034604395322679 3.88252e-09
4.084071989200302 2.65227e-09
4.133538908370218 2.5714e-09
