log[Age(Myr)] 3329_SFR
2.6989700043360187 2.44605e-12
2.7484376745664973 2.2006e-12
2.7979056993527007 1.80597e-12
2.8473739733267314 1.03833e-12
2.8968413524209744 2.40605e-13
2.9463092780221425 3.11561e-14
2.9957773040840703 5.70812e-13
3.045244720478147 1.07754e-12
3.0947121423588384 1.65087e-12
3.1441817643668375 1.25487e-12
3.1936476637667615 3.59059e-13
3.243117455274604 8.49886e-16
3.292583884255552 5.04018e-15
3.3420533735347466 7.51734e-13
3.3915208329544204 7.55417e-13
3.440987751476157 4.73424e-15
3.490455735894072 1.09049e-12
3.539923776965465 1.38488e-12
3.5893921410106087 3.73848e-13
3.6388594973752038 1.87847e-12
3.688328147713719 1.89433e-11
3.7377959405311976 8.70691e-11
3.7872634741087965 3.31354e-10
3.836731629478519 7.63581e-10
3.8861995939089495 1.77894e-09
3.9356674516452066 3.23353e-09
3.985135349823362 6.02127e-09
4.034604395322679 1.05261e-08
4.084071989200302 1.10757e-08
4.133538908370218 1.55898e-08
