log[Age(Myr)] 3269_AMR
2.6989700043360187 0.011354
2.7484376745664973 0.0150017
2.7979056993527007 0.0192549
2.8473739733267314 0.0242535
2.8968413524209744 0.0329437
2.9463092780221425 0.044907
2.9957773040840703 0.00993742
3.045244720478147 0.0221207
3.0947121423588384 0.0327776
3.1441817643668375 0.0106436
3.1936476637667615 0.00468268
3.243117455274604 0.0356004
3.292583884255552 0.0352937
3.3420533735347466 0.0229481
3.3915208329544204 0.0422624
3.440987751476157 0.0461866
3.490455735894072 0.0432248
3.539923776965465 0.0499989
3.5893921410106087 0.0499988
3.6388594973752038 0.0499996
3.688328147713719 0.0499996
3.7377959405311976 0.0499932
3.7872634741087965 0.05
3.836731629478519 0.04095
3.8861995939089495 0.0211896
3.9356674516452066 0.00814775
3.985135349823362 0.00775608
4.034604395322679 0.00785014
4.084071989200302 0.00780048
4.133538908370218 0.00709588
