log[Age(Myr)] 3254_MASS
2.6989700043360187 0.00368294
2.7484376745664973 0.00301157
2.7979056993527007 0.00235006
2.8473739733267314 0.00181332
2.8968413524209744 0.00165991
2.9463092780221425 0.00178301
2.9957773040840703 0.0022106
3.045244720478147 0.00317191
3.0947121423588384 0.00197564
3.1441817643668375 0.00362464
3.1936476637667615 0.00314214
3.243117455274604 0.00154962
3.292583884255552 3.53166e-05
3.3420533735347466 0.00296534
3.3915208329544204 0.0118091
3.440987751476157 0.0288926
3.490455735894072 0.0879778
3.539923776965465 0.169373
3.5893921410106087 0.220049
3.6388594973752038 0.284698
3.688328147713719 0.484814
3.7377959405311976 0.932272
3.7872634741087965 1.56731
3.836731629478519 2.43347
3.8861995939089495 4.16784
3.9356674516452066 6.1272
3.985135349823362 8.98858
4.034604395322679 13.2908
4.084071989200302 8.08324
4.133538908370218 10.1263
