"v (km/s)" BF[g(v)]
-1003.98 1.67307e-07
-979.531 1.01013e-07
-955.082 2.64908e-06
-930.63 1.8401e-06
-906.177 6.55098e-14
-881.722 1.32687e-05
-857.265 2.44237e-05
-832.805 7.61213e-07
-808.344 1.33992e-10
-783.881 2.91407e-08
-759.416 7.90192e-07
-734.949 1.76583e-06
-710.479 1.65109e-06
-686.008 1.12925e-06
-661.535 1.31359e-07
-637.06 1.29449e-06
-612.582 5.44031e-08
-588.103 3.34931e-05
-563.622 0.00122709
-539.139 0.00206413
-514.653 0.000861981
-490.166 4.33771e-05
-465.677 5.12154e-07
-441.186 1.03396e-08
-416.692 4.00816e-08
-392.197 1.74749e-06
-367.7 6.38652e-05
-343.2 0.00184205
-318.699 0.00668645
-294.196 0.0133286
-269.691 0.020699
-245.183 0.0277055
-220.674 0.0355317
-196.163 0.0434759
-171.649 0.0520751
-147.134 0.0595984
-122.617 0.0673223
-98.0974 0.0729474
-73.5761 0.0768246
-49.0527 0.0788615
-24.5274 0.0770413
-2.66269e-10 0.0726065
24.5294 0.0656301
49.0607 0.0566438
73.5941 0.0487149
98.1295 0.0402939
122.667 0.0301496
147.206 0.0184556
171.748 0.0079498
196.291 0.00121672
220.837 5.36496e-05
245.384 5.24729e-05
269.933 0.000204179
294.485 0.00144543
319.038 0.00373873
343.594 0.00446024
368.151 0.00278252
392.711 0.000525027
417.272 7.71569e-06
441.836 4.81125e-07
466.401 3.62956e-07
490.969 1.4906e-07
515.538 8.41896e-08
540.11 3.84916e-06
564.683 0.000628384
589.259 0.00255052
613.837 0.00196126
638.416 0.000377245
662.998 7.08084e-08
687.581 1.03541e-06
712.167 1.30113e-06
736.755 6.06603e-07
761.344 2.76671e-06
785.936 2.89881e-06
810.53 3.87946e-11
835.125 6.3168e-05
859.723 0.000751773
884.323 0.000417374
908.924 1.79739e-05
933.528 1.31668e-07
958.134 4.71379e-10
982.742 7.02941e-09
1007.35 7.64038e-07
