Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4050.07,0.626619,0.273259,0.0,0.901906
4050.15,0.628306,0.282216,0.0,0.901877
4050.22,0.62991,0.291649,0.0,0.901848
4050.29,0.631414,0.301168,0.0,0.901818
4050.37,0.63284,0.310269,0.0,0.901789
4050.44,0.634213,0.318806,0.0,0.90176
4050.52,0.635549,0.327086,0.0,0.901731
4050.59,0.636858,0.335645,0.0,0.901702
4050.66,0.638149,0.344843,0.0,0.901673
4050.74,0.63943,0.354551,0.0,0.901644
4050.81,0.64071,0.364316,0.0,0.901615
4050.88,0.641995,0.37378,0.0,0.901585
4050.96,0.64329,0.382823,0.0,0.901556
4051.03,0.644596,0.391499,0.0,0.901527
4051.1,0.645919,0.399903,0.0,0.901498
4051.18,0.647262,0.408169,0.0,0.901469
4051.25,0.64863,0.416546,0.0,0.90144
4051.33,0.650026,0.425312,0.0,0.901411
4051.4,0.651455,0.434572,0.0,0.901382
4051.47,0.652918,0.443985,0.0,0.901352
4051.55,0.654425,0.452742,0.0,0.901323
4051.62,0.655981,0.460078,0.0,0.901294
4051.69,0.657587,0.466,0.0,0.901265
4051.77,0.659232,0.471556,0.0,0.901236
4051.84,0.660902,0.47912,0.0,0.901207
4051.91,0.66257,0.494707,0.497737,0.901178
4051.99,0.6642,0.501405,0.497215,0.901149
4052.06,0.665759,0.505947,0.496693,0.90112
4052.14,0.667212,0.510608,0.496173,0.901091
4052.21,0.668528,0.516328,0.495653,0.901062
4052.28,0.669676,0.523094,0.495134,0.901033
4052.36,0.670624,0.530157,0.494615,0.901004
4052.43,0.671343,0.536723,0.494098,0.900975
4052.5,0.671796,0.542488,0.493581,0.900946
4052.58,0.671947,0.547575,0.493065,0.900917
4052.65,0.671759,0.552278,0.493034,0.900888
4052.73,0.671215,0.556836,0.493208,0.900859
4052.8,0.670311,0.561362,0.493382,0.90083
4052.87,0.669052,0.565856,0.494644,0.900801
4052.95,0.667482,0.570252,0.495923,0.900772
4053.02,0.665653,0.574473,0.497207,0.900743
4053.09,0.663614,0.578475,0.498496,0.900714
4053.17,0.661409,0.582247,0.499791,0.900685
4053.24,0.659081,0.585798,0.50109,0.900657
4053.31,0.656673,0.589151,0.502395,0.900628
4053.39,0.65423,0.592341,0.503704,0.900599
4053.46,0.651795,0.595396,0.505019,0.90057
4053.54,0.649417,0.598295,0.506339,0.900541
4053.61,0.647145,0.601025,0.507624,0.900512
4053.68,0.645021,0.603592,0.508652,0.900484
4053.76,0.643075,0.606,0.509683,0.900455
4053.83,0.641335,0.608204,0.510397,0.900426
4053.9,0.639802,0.610167,0.510666,0.900397
4053.98,0.638446,0.611894,0.510936,0.900369
4054.05,0.637236,0.613437,0.511206,0.90034
4054.13,0.636146,0.61485,0.511477,0.900311
4054.2,0.635154,0.616201,0.511747,0.900282
4054.27,0.634238,0.617516,0.512018,0.900254
4054.35,0.633372,0.618758,0.512289,0.900225
4054.42,0.632532,0.619854,0.51256,0.900197
4054.49,0.631694,0.620773,0.512831,0.900168
4054.57,0.630832,0.621512,0.513103,0.900139
4054.64,0.629919,0.622072,0.513397,0.900111
4054.72,0.628934,0.622499,0.513708,0.900082
4054.79,0.62786,0.622846,0.514019,0.900054
4054.86,0.626681,0.623125,0.514481,0.900025
4054.94,0.625408,0.623296,0.51497,0.899997
4055.01,0.624064,0.62332,0.515459,0.899968
4055.08,0.622668,0.623146,0.515949,0.89994
4055.16,0.621236,0.622746,0.51644,0.899911
4055.23,0.619787,0.62216,0.516931,0.899883
4055.31,0.618337,0.621475,0.517423,0.899854
4055.38,0.616903,0.620757,0.517916,0.899826
4055.45,0.615505,0.620041,0.51841,0.899798
4055.53,0.614158,0.619377,0.518904,0.899769
4055.6,0.612883,0.618787,0.519399,0.899741
4055.67,0.611696,0.618254,0.519898,0.899713
4055.75,0.610613,0.617749,0.520398,0.899685
4055.82,0.609651,0.617234,0.520911,0.899656
4055.9,0.608815,0.616665,0.521454,0.899628
4055.97,0.608092,0.616,0.521999,0.8996
4056.04,0.607467,0.615252,0.522544,0.899572
4056.12,0.606926,0.614469,0.52309,0.899544
4056.19,0.606456,0.613714,0.523638,0.899515
4056.26,0.606045,0.613043,0.524185,0.899487
4056.34,0.605677,0.612492,0.524734,0.899459
4056.41,0.605341,0.612041,0.525284,0.899431
4056.49,0.605023,0.611611,0.525834,0.899403
4056.56,0.604708,0.611128,0.526386,0.899375
4056.63,0.604384,0.610594,0.526938,0.899347
4056.71,0.604037,0.610039,0.527491,0.899319
4056.78,0.603653,0.6095,0.528045,0.899291
4056.85,0.60322,0.609052,0.528779,0.899264
4056.93,0.602735,0.608767,0.529579,0.899236
4057.0,0.602203,0.608602,0.530382,0.899208
4057.08,0.601628,0.608449,0.531193,0.89918
4057.15,0.601013,0.60825,0.532007,0.899152
4057.22,0.600364,0.608012,0.532822,0.899125
4057.3,0.599684,0.607742,0.533639,0.899097
4057.37,0.598979,0.607465,0.534458,0.899069
4057.44,0.598251,0.607255,0.535279,0.899042
4057.52,0.597505,0.607163,0.536102,0.899014
4057.59,0.596746,0.607141,0.536927,0.898986
4057.67,0.595978,0.607117,0.537754,0.898959
4057.74,0.595206,0.607058,0.538582,0.898931
4057.81,0.594432,0.60697,0.539302,0.898904
4057.89,0.593663,0.606868,0.539498,0.898876
4057.96,0.5929,0.606785,0.539695,0.898849
4058.03,0.592146,0.606757,0.539845,0.898821
4058.11,0.591404,0.606795,0.539942,0.898794
4058.18,0.590677,0.606885,0.540038,0.898767
