log[Age(Myr)] 3484_SAD
2.6989700043360187 0.000124167
2.7484376745664973 0.000106521
2.7979056993527007 8.39848e-05
2.8473739733267314 6.80456e-05
2.8968413524209744 4.10655e-05
2.9463092780221425 2.41508e-05
2.9957773040840703 1.67574e-05
3.045244720478147 1.50671e-06
3.0947121423588384 8.01397e-05
3.1441817643668375 0.000143399
3.1936476637667615 0.000304393
3.243117455274604 0.000373618
3.292583884255552 0.000354619
3.3420533735347466 0.000358513
3.3915208329544204 0.000170467
3.440987751476157 5.75709e-06
3.490455735894072 0.000175009
3.539923776965465 0.000724082
3.5893921410106087 0.00436701
3.6388594973752038 0.00705752
3.688328147713719 0.00639461
3.7377959405311976 0.010554
3.7872634741087965 0.0211976
3.836731629478519 0.0283485
3.8861995939089495 0.0304665
3.9356674516452066 0.0493225
3.985135349823362 0.0816982
4.034604395322679 0.114101
4.084071989200302 0.372404
4.133538908370218 0.270905
