"v (km/s)" BF[g(v)]
-1001.26 0.00145899
-995.825 0.000450135
-990.392 0.000180953
-984.959 0.000107762
-979.526 9.86709e-05
-974.093 0.000123129
-968.66 0.000173713
-963.227 0.000241844
-957.794 0.000311773
-952.361 0.000367954
-946.927 0.000405182
-941.494 0.000427754
-936.06 0.000441167
-930.626 0.000446246
-925.192 0.000437917
-919.758 0.000413
-914.324 0.000379501
-908.89 0.000351357
-903.456 0.000340847
-898.022 0.000346998
-892.587 0.000346094
-887.153 0.0003136
-881.718 0.000252128
-876.283 0.000186298
-870.848 0.000140771
-865.413 0.000121024
-859.978 0.000118803
-854.543 0.00012512
-849.108 0.000132253
-843.673 0.000133959
-838.237 0.000129766
-832.802 0.000122798
-827.366 0.000115589
-821.93 0.000110939
-816.494 0.000112417
-811.059 0.000123407
-805.623 0.000145966
-800.186 0.000177996
-794.75 0.000206935
-789.314 0.000212135
-783.877 0.000183541
-778.441 0.000134353
-773.004 8.98778e-05
-767.568 6.29734e-05
-762.131 5.34656e-05
-756.694 5.95027e-05
-751.257 8.03942e-05
-745.82 0.000114041
-740.382 0.000152688
-734.945 0.000184386
-729.508 0.000205671
-724.07 0.000222963
-718.633 0.00024253
-713.195 0.000266393
-707.757 0.000290448
-702.319 0.000307266
-696.881 0.000315026
-691.443 0.000317812
-686.005 0.000321618
-680.567 0.000332766
-675.128 0.00035528
-669.69 0.000391376
-664.251 0.000439924
-658.812 0.000494882
-653.374 0.000546243
-647.935 0.00058175
-642.496 0.000597352
-637.057 0.000598546
-631.618 0.000593951
-626.178 0.000594584
-620.739 0.00060909
-615.299 0.000643178
-609.86 0.000700178
-604.42 0.000777697
-598.98 0.000864804
-593.54 0.000945416
-588.1 0.00100574
-582.66 0.00104105
-577.22 0.00105692
-571.78 0.00106627
-566.34 0.00109317
-560.899 0.00115911
-555.458 0.00126603
-550.018 0.00139191
-544.577 0.00147759
-539.136 0.00146781
-533.695 0.00138901
-528.254 0.00131361
-522.813 0.00130444
-517.372 0.00139398
-511.93 0.00154739
-506.489 0.00168343
-501.047 0.00174844
-495.606 0.00175322
-490.164 0.0017515
-484.722 0.00180264
-479.28 0.00192877
-473.838 0.00210226
-468.396 0.00227789
-462.954 0.00240183
-457.511 0.00245179
-452.069 0.00245739
-446.626 0.00245375
-441.184 0.00248232
-435.741 0.00257236
-430.298 0.00273087
-424.855 0.00295863
-419.412 0.00321541
-413.969 0.00341571
-408.526 0.00346365
-403.082 0.00334786
-397.639 0.00317549
-392.195 0.00309845
-386.752 0.00325569
-381.308 0.0036425
-375.864 0.00410098
-370.42 0.00443794
-364.976 0.00448937
-359.532 0.00432344
-354.088 0.0041639
-348.643 0.00412133
-343.199 0.00423769
-337.754 0.00448719
-332.31 0.00479652
-326.865 0.00511354
-321.42 0.00537383
-315.975 0.00553343
-310.53 0.00556585
-305.085 0.00550932
-299.64 0.00546576
-294.195 0.00548855
-288.749 0.00560815
-283.304 0.00583119
-277.858 0.00612877
-272.412 0.00645381
-266.966 0.00672004
-261.521 0.00683542
-256.075 0.00676493
-250.628 0.00660984
-245.182 0.0065538
-239.736 0.00670068
-234.289 0.00703953
-228.843 0.00744472
-223.396 0.00769594
-217.95 0.00768458
-212.503 0.00745993
-207.056 0.00712056
-201.609 0.00683961
-196.162 0.00681334
-190.715 0.00720216
-185.267 0.00804416
-179.82 0.00907305
-174.372 0.00955674
-168.925 0.00870558
-163.477 0.00677044
-158.029 0.00501025
-152.581 0.0045993
-147.133 0.00719271
-141.685 0.021029
-136.237 0.00793466
-130.789 0.00520524
-125.34 0.00547658
-119.892 0.0071481
-114.443 0.0091369
-108.995 0.0102734
-103.546 0.0101662
-98.097 0.00939262
-92.648 0.00865079
-87.1989 0.00826028
-81.7497 0.00823832
-76.3004 0.00847105
-70.851 0.00884194
-65.4015 0.00922551
-59.952 0.00947245
-54.5023 0.00947073
-49.0525 0.00916676
-43.6026 0.00876455
-38.1526 0.00858842
-32.7026 0.00866066
-27.2524 0.00879846
-21.8021 0.00889431
-16.3517 0.00899154
-10.9012 0.0090819
-5.45067 0.0089144
-1.13164e-09 0.00854058
5.45077 0.00824127
10.9016 0.00811508
16.3526 0.00821943
21.8037 0.00828851
27.2549 0.00816391
32.7061 0.0080345
38.1575 0.0079944
43.609 0.00808142
49.0605 0.00831347
54.5122 0.00857572
59.9639 0.00862381
65.4158 0.00823165
70.8678 0.00744663
76.3198 0.00664606
81.772 0.00635096
87.2242 0.00697249
92.6766 0.00858118
98.1291 0.010412
103.582 0.0105148
109.034 0.00770365
114.487 0.00395599
119.94 0.00173745
125.393 0.00128726
130.846 0.00376071
136.299 0.035016
141.752 0.00266982
147.206 0.000772537
152.659 0.0012202
158.113 0.00321985
163.566 0.00648623
169.02 0.0086188
174.474 0.00818419
179.928 0.00642085
185.382 0.00489906
190.836 0.00413821
196.29 0.00404455
201.745 0.00437424
207.199 0.00482018
212.654 0.00507375
218.108 0.00497545
223.563 0.00461448
229.018 0.00418686
234.473 0.00383075
239.928 0.00360684
245.383 0.00351883
250.838 0.00352243
256.293 0.00352753
261.749 0.00346118
267.204 0.00331227
272.66 0.00311969
278.116 0.00292168
283.572 0.00276169
289.028 0.00266248
294.484 0.00261199
299.94 0.00257103
305.396 0.00250985
310.852 0.00242017
316.309 0.00230817
321.765 0.00218726
327.222 0.0020852
332.679 0.00200962
338.135 0.00194819
343.592 0.00188658
349.049 0.00181235
354.506 0.00171988
359.964 0.00161403
365.421 0.00151176
370.878 0.00142461
376.336 0.00135514
381.793 0.00130301
387.251 0.00126106
392.709 0.00122065
398.167 0.00117726
403.625 0.00113
409.083 0.00107757
414.541 0.00102241
420.0 0.000970747
425.458 0.000925614
430.916 0.000886753
436.375 0.000853294
441.834 0.000824092
447.293 0.000794124
452.751 0.000758907
458.21 0.000717871
463.67 0.00067388
469.129 0.000629344
474.588 0.000587049
480.048 0.000551178
485.507 0.000523825
490.967 0.000502208
496.426 0.00048369
501.886 0.000467966
507.346 0.000453714
512.806 0.000436265
518.266 0.000412938
523.726 0.000384518
529.187 0.000351994
534.647 0.000316373
540.107 0.000280498
545.568 0.000248446
551.029 0.000222054
556.49 0.000201601
561.95 0.000185652
567.411 0.00017116
572.873 0.000154029
578.334 0.000131544
583.795 0.00010444
589.256 7.67726e-05
594.718 5.31661e-05
600.179 3.60764e-05
605.641 2.51844e-05
611.103 1.87022e-05
616.565 1.47422e-05
622.027 1.1834e-05
627.489 9.02491e-06
632.951 6.07029e-06
638.413 3.38451e-06
643.876 1.50168e-06
649.338 5.16153e-07
654.801 1.33973e-07
660.263 2.6544e-08
665.726 5.90042e-09
671.189 5.51299e-09
676.652 1.71502e-08
682.115 5.21868e-08
687.578 1.19987e-07
693.042 2.11321e-07
698.505 2.94909e-07
703.968 3.36792e-07
709.432 3.2481e-07
714.896 2.71928e-07
720.359 2.00934e-07
725.823 1.31087e-07
731.287 7.37807e-08
736.751 3.3653e-08
742.216 1.06466e-08
747.68 1.24846e-09
753.144 3.11928e-10
758.609 3.12076e-09
764.073 6.59382e-09
769.538 9.33131e-09
775.003 1.10532e-08
780.467 1.19183e-08
785.932 1.21501e-08
791.397 1.1885e-08
796.863 1.11359e-08
802.328 9.76826e-09
807.793 7.53276e-09
813.259 4.32126e-09
818.724 9.36075e-10
824.19 6.03601e-10
829.656 1.10636e-08
835.122 4.61105e-08
840.588 1.24327e-07
846.054 2.58497e-07
851.52 4.25371e-07
856.986 5.28871e-07
862.452 4.40874e-07
