"v (km/s)" BF[g(v)]
-1001.26 0.000572753
-995.825 0.000293261
-990.392 0.000165016
-984.959 0.000107683
-979.526 8.43635e-05
-974.093 7.91995e-05
-968.66 8.55514e-05
-963.227 0.000100422
-957.794 0.000121764
-952.361 0.000147614
-946.927 0.000176341
-941.494 0.000206551
-936.06 0.000236465
-930.626 0.00026336
-925.192 0.000283301
-919.758 0.000293407
-914.324 0.000295203
-908.89 0.000293999
-903.456 0.000296607
-898.022 0.000305853
-892.587 0.00031477
-887.153 0.000312965
-881.718 0.000296689
-876.283 0.000271117
-870.848 0.000248289
-865.413 0.000235687
-859.978 0.000229412
-854.543 0.000220867
-849.108 0.000202334
-843.673 0.000170534
-838.237 0.000129996
-832.802 8.8825e-05
-827.366 5.36621e-05
-821.93 2.82424e-05
-816.494 1.27248e-05
-811.059 4.6882e-06
-805.623 1.20023e-06
-800.186 8.66173e-08
-794.75 9.59615e-08
-789.314 5.73652e-07
-783.877 1.124e-06
-778.441 1.51727e-06
-773.004 1.70144e-06
-767.568 1.75371e-06
-762.131 1.75001e-06
-756.694 1.66725e-06
-751.257 1.37475e-06
-745.82 7.68099e-07
-740.382 9.7277e-08
-734.945 3.2976e-07
-729.508 3.22421e-06
-724.07 1.10738e-05
-718.633 2.56877e-05
-713.195 4.65197e-05
-707.757 6.91282e-05
-702.319 8.64862e-05
-696.881 9.37981e-05
-691.443 9.10302e-05
-686.005 8.13311e-05
-680.567 6.85025e-05
-675.128 5.52077e-05
-669.69 4.2896e-05
-664.251 3.21492e-05
-658.812 2.31355e-05
-653.374 1.59237e-05
-647.935 1.05073e-05
-642.496 6.82341e-06
-637.057 4.62433e-06
-631.618 3.55605e-06
-626.178 3.38338e-06
-620.739 4.12716e-06
-615.299 6.21634e-06
-609.86 1.07011e-05
-604.42 1.94362e-05
-598.98 3.49111e-05
-593.54 5.93195e-05
-588.1 9.29625e-05
-582.66 0.000133134
-577.22 0.000174829
-571.78 0.000213163
-566.34 0.000246388
-560.899 0.000275312
-555.458 0.000299974
-550.018 0.00031779
-544.577 0.000322267
-539.136 0.000308589
-533.695 0.000282042
-528.254 0.000253353
-522.813 0.000231717
-517.372 0.000221811
-511.93 0.000221689
-506.489 0.000226827
-501.047 0.000235067
-495.606 0.000247049
-490.164 0.000264482
-484.722 0.000288762
-479.28 0.000318328
-473.838 0.000347836
-468.396 0.000372376
-462.954 0.000389569
-457.511 0.000402619
-452.069 0.000419983
-446.626 0.000449247
-441.184 0.000496251
-435.741 0.000562732
-430.298 0.000644435
-424.855 0.000733531
-419.412 0.000817009
-413.969 0.000880496
-408.526 0.000915965
-403.082 0.000932333
-397.639 0.000955853
-392.195 0.00101864
-386.752 0.00115154
-381.308 0.00135743
-375.864 0.0015992
-370.42 0.00182024
-364.976 0.00196507
-359.532 0.00203751
-354.088 0.00209778
-348.643 0.0021936
-343.199 0.00235685
-337.754 0.00259315
-332.31 0.00288131
-326.865 0.00319257
-321.42 0.00348396
-315.975 0.00372071
-310.53 0.00388668
-305.085 0.0040048
-299.64 0.00413302
-294.195 0.00431154
-288.749 0.00456339
-283.304 0.00489049
-277.858 0.00526766
-272.412 0.0056552
-266.966 0.00599712
-261.521 0.00623924
-256.075 0.00636331
-250.628 0.00642357
-245.182 0.00652407
-239.736 0.00673886
-234.289 0.00708616
-228.843 0.00752016
-223.396 0.00792789
-217.95 0.00822052
-212.503 0.00837048
-207.056 0.00838879
-201.609 0.00839531
-196.162 0.00855248
-190.715 0.00902115
-185.267 0.00985992
-179.82 0.0108602
-174.372 0.0114575
-168.925 0.0110176
-163.477 0.0095996
-158.029 0.00814095
-152.581 0.00787917
-147.133 0.0105896
-141.685 0.0221184
-136.237 0.0118518
-130.789 0.00923245
-125.34 0.00960438
-119.892 0.0113431
-114.443 0.0131635
-108.995 0.0140615
-103.546 0.0139184
-98.097 0.0133264
-92.648 0.0128363
-87.1989 0.0126414
-81.7497 0.0127041
-76.3004 0.0129442
-70.851 0.013338
-65.4015 0.0138302
-59.952 0.0142159
-54.5023 0.014202
-49.0525 0.0136335
-43.6026 0.0128682
-38.1526 0.0125308
-32.7026 0.0128334
-27.2524 0.0134693
-21.8021 0.0138743
-16.3517 0.0136683
-10.9012 0.0130244
-5.45067 0.0124515
-1.13164e-09 0.0123859
5.45077 0.012664
10.9016 0.0126859
16.3526 0.0122751
21.8037 0.0116053
27.2549 0.0110679
32.7061 0.0109814
38.1575 0.0112193
43.609 0.0114567
49.0605 0.011504
54.5122 0.0113465
59.9639 0.0110307
65.4158 0.0105678
70.8678 0.00998009
76.3198 0.00938423
81.772 0.00902113
87.2242 0.00911773
92.6766 0.00965145
98.1291 0.0101863
103.582 0.00992968
109.034 0.00840654
114.487 0.00621241
119.94 0.0045526
125.393 0.00431654
130.846 0.00701734
136.299 0.0210265
141.752 0.00527785
147.206 0.00285252
152.659 0.00294593
158.113 0.00403483
163.566 0.00535125
169.02 0.00600286
174.474 0.00568096
179.928 0.00483434
185.382 0.00401983
190.836 0.00349397
196.29 0.00326451
201.745 0.00324315
207.199 0.00331034
212.654 0.00334452
218.108 0.00326145
223.563 0.00305813
229.018 0.00278788
234.473 0.00250701
239.928 0.00225794
245.383 0.00206236
250.838 0.00191669
256.293 0.00179729
261.749 0.00168165
267.204 0.00155985
272.66 0.0014324
278.116 0.00130165
283.572 0.00117681
289.028 0.00106586
294.484 0.000969563
299.94 0.000882514
305.396 0.000801964
310.852 0.00072823
316.309 0.000661817
321.765 0.000602588
327.222 0.000550953
332.679 0.000505307
338.135 0.000461783
343.592 0.000417837
349.049 0.000372739
354.506 0.000327581
359.964 0.000284963
365.421 0.00024847
370.878 0.000220102
376.336 0.000200257
381.793 0.000188791
387.251 0.000184821
392.709 0.000187242
