log[Age(Myr)] 3639_MASS
2.6989700043360187 0.00060799
2.7484376745664973 0.00100348
2.7979056993527007 0.00094224
2.8473739733267314 0.000870974
2.8968413524209744 0.000592228
2.9463092780221425 0.000446304
2.9957773040840703 0.000461487
3.045244720478147 0.000120384
3.0947121423588384 0.000419195
3.1441817643668375 0.00167906
3.1936476637667615 0.00375531
3.243117455274604 0.000341237
3.292583884255552 0.000676572
3.3420533735347466 2.44647e-07
3.3915208329544204 0.000852422
3.440987751476157 0.0218177
3.490455735894072 0.0673106
3.539923776965465 0.0226918
3.5893921410106087 0.0951819
3.6388594973752038 0.232316
3.688328147713719 0.19715
3.7377959405311976 0.340772
3.7872634741087965 0.948989
3.836731629478519 2.44245
3.8861995939089495 4.26235
3.9356674516452066 7.096
3.985135349823362 12.2722
4.034604395322679 5.65149
4.084071989200302 8.85551
4.133538908370218 13.3182
