"v (km/s)" BF[g(v)]
485.507 7.57702e-07
490.967 5.60454e-07
496.426 4.29023e-07
501.886 3.47412e-07
507.346 2.96357e-07
512.806 2.55854e-07
518.266 2.13879e-07
523.726 1.68527e-07
529.187 1.23082e-07
534.647 8.24847e-08
540.107 5.09102e-08
545.568 2.94248e-08
551.029 1.58175e-08
556.49 7.45734e-09
561.95 2.55672e-09
567.411 2.68827e-10
572.873 2.52388e-10
578.334 1.77683e-09
583.795 3.13347e-09
589.256 2.83032e-09
594.718 1.27824e-09
600.179 1.20313e-10
605.641 1.69394e-10
611.103 9.79892e-10
616.565 1.82444e-09
622.027 2.32717e-09
627.489 2.45476e-09
632.951 2.30872e-09
638.413 1.95581e-09
643.876 1.38881e-09
649.338 6.54128e-10
654.801 6.37603e-11
660.263 1.95795e-10
665.726 1.02506e-09
671.189 7.13602e-10
676.652 9.85313e-10
682.115 2.89338e-08
687.578 1.55579e-07
693.042 4.47511e-07
698.505 8.51308e-07
703.968 1.16533e-06
709.432 1.18951e-06
714.896 9.01179e-07
720.359 4.82322e-07
725.823 1.60309e-07
731.287 2.29852e-08
736.751 1.02975e-10
742.216 2.03403e-10
747.68 1.05589e-09
753.144 7.29804e-09
758.609 1.08006e-08
764.073 7.32294e-09
769.538 2.46695e-09
775.003 2.29167e-10
780.467 7.99988e-11
785.932 4.75327e-10
791.397 7.08782e-10
796.863 7.45958e-10
802.328 7.23944e-10
807.793 7.281e-10
813.259 7.44522e-10
818.724 6.50829e-10
824.19 3.0963e-10
829.656 6.82083e-13
835.122 9.64343e-10
840.588 4.36525e-09
846.054 7.39344e-09
851.52 4.24544e-09
856.986 1.18399e-10
862.452 1.22767e-09
867.919 1.53919e-07
873.385 1.89399e-06
878.852 9.60503e-06
884.319 2.87697e-05
889.786 6.02636e-05
895.253 9.82699e-05
900.72 0.000134554
906.187 0.000162737
911.654 0.000180231
917.121 0.000187652
922.589 0.000186895
928.056 0.000179427
933.524 0.000166535
938.992 0.000149367
944.46 0.000129022
949.928 0.000107077
955.396 8.60357e-05
960.864 6.82192e-05
966.332 5.47103e-05
971.8 4.576e-05
977.269 4.13449e-05
982.737 4.17623e-05
988.206 4.83898e-05
993.675 6.51546e-05
999.143 0.000101097
1004.61 0.000175003
