log[Age(Myr)] 3291_AMR
2.6989700043360187 0.00913951
2.7484376745664973 0.0109616
2.7979056993527007 0.0129225
2.8473739733267314 0.0136663
2.8968413524209744 0.0144393
2.9463092780221425 0.0169962
2.9957773040840703 0.0172668
3.045244720478147 0.0189678
3.0947121423588384 0.0215369
3.1441817643668375 0.0257947
3.1936476637667615 0.0203266
3.243117455274604 0.010005
3.292583884255552 0.0488145
3.3420533735347466 0.0499969
3.3915208329544204 0.000541842
3.440987751476157 0.0499888
3.490455735894072 0.0500002
3.539923776965465 0.05
3.5893921410106087 0.00174028
3.6388594973752038 0.000914785
3.688328147713719 0.000608427
3.7377959405311976 0.000999869
3.7872634741087965 0.00406422
3.836731629478519 0.00614563
3.8861995939089495 0.00507972
3.9356674516452066 0.0057442
3.985135349823362 0.0065289
4.034604395322679 0.0399637
4.084071989200302 0.0425658
4.133538908370218 0.049997
