log[Age(Myr)] 3367_MASS
2.6989700043360187 0.000619256
2.7484376745664973 0.000587165
2.7979056993527007 0.000462523
2.8473739733267314 0.00021155
2.8968413524209744 7.58311e-05
2.9463092780221425 1.77088e-05
2.9957773040840703 0.00143452
3.045244720478147 0.00150113
3.0947121423588384 0.000548838
3.1441817643668375 0.00192142
3.1936476637667615 0.00263919
3.243117455274604 0.00611593
3.292583884255552 0.00640364
3.3420533735347466 0.00188568
3.3915208329544204 0.00415358
3.440987751476157 0.00113505
3.490455735894072 0.00830189
3.539923776965465 0.0200525
3.5893921410106087 0.0619106
3.6388594973752038 0.137828
3.688328147713719 0.283648
3.7377959405311976 0.60393
3.7872634741087965 1.30526
3.836731629478519 2.73327
3.8861995939089495 3.92263
3.9356674516452066 2.60939
3.985135349823362 12.3473
4.034604395322679 6.14056
4.084071989200302 9.58118
4.133538908370218 12.7427
