log[Age(Myr)] 3367_AMR
2.6989700043360187 0.00470032
2.7484376745664973 0.00493729
2.7979056993527007 0.0058388
2.8473739733267314 0.00681322
2.8968413524209744 0.00685785
2.9463092780221425 0.0218023
2.9957773040840703 0.0254014
3.045244720478147 0.0264829
3.0947121423588384 0.0176431
3.1441817643668375 0.0164029
3.1936476637667615 0.0114099
3.243117455274604 0.0131787
3.292583884255552 0.0117127
3.3420533735347466 0.0115446
3.3915208329544204 0.0125883
3.440987751476157 0.0103064
3.490455735894072 0.00152948
3.539923776965465 0.00142667
3.5893921410106087 0.00356144
3.6388594973752038 0.00531686
3.688328147713719 0.00389523
3.7377959405311976 0.004872
3.7872634741087965 0.00406786
3.836731629478519 0.00422124
3.8861995939089495 0.0331917
3.9356674516452066 0.0331869
3.985135349823362 0.00515828
4.034604395322679 0.0331914
4.084071989200302 0.0331915
4.133538908370218 0.0331915
