GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,6.9404034665646375,7.603168565993817,4.774370669062355
3269,9.98,2.2032183745178235,6.735034315504575,2.185632014905343
3291,9.92,10.138403205501302,9.821734085497916,6.466923770543888
3352,10.62,5.430016321496856,20.966940160286235,3.6242043950572986
3367,10.65,2.3454982099650135,8.25856296950222,2.2940054791173004
3414,10.73,7.922999734135411,13.804717011417923,5.912642113449126
3484,10.11,1.482553873800052,3.291172946580356,2.0306661602869536
3534,9.67,8.788538537493684,5.708545086419958,5.867208098629188
3565,9.29,8.091566364793778,6.258511996199385,4.807324242283167
3639,10.6,4.444628830716251,5.577497582921598,2.7218666508485883
3664,10.82,4.323186694394277,25.542966246057297,4.083057765604861
