GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,7.350424194826422,12.174015548717799,5.078154990232344
3269,9.98,2.844537361312077,6.075514324335935,2.3115841909795556
3291,9.92,10.409239222888448,10.882197255011434,6.577026187883828
3352,10.62,8.03700804701435,20.209251707731003,6.66044182328203
3367,10.65,3.8274905569078923,12.340186927144138,3.214647236200105
3414,10.73,7.244301168282242,13.891198833207287,5.4145761878787555
3484,10.11,2.166026177931313,6.772421332825774,2.1045137685421933
3534,9.67,8.528734978485831,7.821825836222475,5.4321571774476975
3565,9.29,10.043046628770059,13.658937491294617,5.363431319614025
3639,10.6,5.775703958461165,5.740352154065295,4.289798573996709
3664,10.82,5.034013608150179,18.056143759492237,4.9762066425857086
