GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,7.2521717143298305,10.2796942259316,4.990231847847965
3269,9.98,2.345289778977011,7.023142641030993,1.8189825849925683
3291,9.92,10.55378603808479,10.673198994506537,6.611335577012312
3352,10.62,4.1514856151414925,24.62466906348689,3.3915307736292486
3367,10.65,2.597624351556866,17.055201138804854,2.1730499553324565
3414,10.73,13.367028647250878,12.1015367583303,9.572112876273447
3484,10.11,1.7760739499288691,5.205239166333123,1.8546347850568967
3534,9.67,10.336871005298287,5.705578475745286,7.899271817974634
3565,9.29,10.043046628770059,13.624808015048297,5.287341166688021
3639,10.6,4.10908774844006,6.229899069264655,2.206424047599692
3664,10.82,5.224991806470635,15.07615455840248,5.207229293908648
