Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4097.03,0.677713,0.660615,0.259816,0.908633
4097.4,0.657128,0.652695,0.264803,0.908877
4097.77,0.631154,0.644173,0.269935,0.909111
4098.15,0.608848,0.63478,0.274515,0.909336
4098.52,0.594822,0.624357,0.278094,0.90955
4098.89,0.587764,0.612921,0.281744,0.909755
4099.26,0.585885,0.600692,0.283669,0.909951
4099.64,0.586779,0.588081,0.284864,0.910136
4100.01,0.587678,0.575654,0.286057,0.910312
4100.38,0.586229,0.564096,0.286852,0.910479
4100.75,0.581647,0.55416,0.287651,0.910637
4101.13,0.573546,0.546611,0.288638,0.910786
4101.5,0.563297,0.542135,0.28999,0.910925
4101.87,0.554953,0.541241,0.291351,0.911056
4102.25,0.552465,0.544159,0.291393,0.911177
4102.62,0.555826,0.550786,0.290748,0.91129
4102.99,0.562417,0.56071,0.290104,0.911394
4103.36,0.570303,0.573282,0.286367,0.91149
4103.74,0.580706,0.587721,0.28263,0.911577
4104.11,0.595662,0.603217,0.279146,0.911656
4104.48,0.614844,0.619014,0.276151,0.911726
4104.86,0.633869,0.634445,0.273203,0.911789
4105.23,0.648242,0.64894,0.27101,0.911843
4105.6,0.657552,0.662012,0.269279,0.911889
4105.98,0.664402,0.673276,0.267565,0.911927
4106.35,0.671252,0.682493,0.265208,0.911958
4106.72,0.679518,0.68959,0.262837,0.911981
4107.1,0.690285,0.694669,0.260489,0.911996
4107.47,0.702707,0.697963,0.258146,0.912004
4107.84,0.71226,0.699788,0.255835,0.912004
4108.22,0.714363,0.700479,0.254583,0.911997
4108.59,0.710203,0.700366,0.254087,0.911983
4108.96,0.705657,0.699763,0.253591,0.911962
4109.34,0.705526,0.698981,0.254346,0.911933
4109.71,0.708069,0.698328,0.255241,0.911898
4110.08,0.709363,0.69808,0.256354,0.911856
4110.46,0.706796,0.698453,0.258213,0.911807
4110.83,0.700496,0.699587,0.260092,0.911751
4111.21,0.691066,0.701555,0.261584,0.911689
4111.58,0.681551,0.704374,0.262751,0.911621
4111.95,0.67715,0.708007,0.263926,0.911546
4112.33,0.682115,0.712368,0.26287,0.911465
