log[Age(Myr)] 3565_MASS
2.6989700043360187 0.000171926
2.7484376745664973 0.000407808
2.7979056993527007 0.000839268
2.8473739733267314 0.001695
2.8968413524209744 0.0033501
2.9463092780221425 0.01385
2.9957773040840703 0.0273386
3.045244720478147 0.024212
3.0947121423588384 0.0275805
3.1441817643668375 0.0922143
3.1936476637667615 0.148335
3.243117455274604 0.216775
3.292583884255552 0.27194
3.3420533735347466 0.17579
3.3915208329544204 0.556332
3.440987751476157 0.365295
3.490455735894072 0.760303
3.539923776965465 0.786699
3.5893921410106087 0.62421
3.6388594973752038 0.655563
3.688328147713719 0.755508
3.7377959405311976 1.19115
3.7872634741087965 1.30037
3.836731629478519 1.18894
3.8861995939089495 1.4564
3.9356674516452066 1.60343
3.985135349823362 1.72224
4.034604395322679 1.97142
4.084071989200302 2.17883
4.133538908370218 2.25113
