log[Age(Myr)] 3367_SAD
2.6989700043360187 0.00337587
2.7484376745664973 0.00246743
2.7979056993527007 0.00164274
2.8473739733267314 0.0010108
2.8968413524209744 0.000601142
2.9463092780221425 0.000254503
2.9957773040840703 8.12735e-05
3.045244720478147 1.41919e-05
3.0947121423588384 1.41441e-05
3.1441817643668375 1.40174e-06
3.1936476637667615 5.88524e-06
3.243117455274604 4.5741e-06
3.292583884255552 0.000630731
3.3420533735347466 0.00210095
3.3915208329544204 0.00458949
3.440987751476157 0.00893514
3.490455735894072 0.016039
3.539923776965465 0.0219718
3.5893921410106087 0.0160996
3.6388594973752038 0.0149785
3.688328147713719 0.0153458
3.7377959405311976 0.0254468
3.7872634741087965 0.0338579
3.836731629478519 0.0391802
3.8861995939089495 0.0489786
3.9356674516452066 0.0624856
3.985135349823362 0.112033
4.034604395322679 0.184155
4.084071989200302 0.128923
4.133538908370218 0.254752
