"v (km/s)" BF[g(v)]
-1020.23 0.00649097
-993.072 0.00193368
-965.909 0.000366432
-938.743 2.42039e-05
-911.574 3.84759e-06
-884.403 2.28023e-05
-857.23 3.25448e-05
-830.054 3.40183e-05
-802.875 3.12203e-05
-775.694 2.59377e-05
-748.511 1.87908e-05
-721.325 1.05149e-05
-694.137 3.06968e-06
-666.946 6.24722e-07
-639.753 1.32579e-08
-612.557 2.51574e-08
-585.359 8.67304e-09
-558.158 4.49918e-09
-530.955 2.68558e-09
-503.75 8.91692e-07
-476.542 1.12781e-05
-449.331 7.2824e-05
-422.118 0.000338668
-394.903 0.00125651
-367.685 0.00378098
-340.464 0.00901624
-313.241 0.0165611
-286.016 0.0235279
-258.788 0.027411
-231.558 0.0292279
-204.325 0.0326407
-177.09 0.0412464
-149.852 0.0556328
-122.612 0.0713081
-95.369 0.0815134
-68.1238 0.0827826
-40.8761 0.0775941
-13.626 0.0715847
13.6266 0.0677345
40.8817 0.0643471
68.1393 0.0586597
95.3993 0.049968
122.662 0.0395152
149.927 0.029443
177.194 0.0212451
204.464 0.0145488
231.737 0.00878674
259.012 0.00440525
286.289 0.00181226
313.569 0.000628489
340.851 0.000195283
368.136 6.36013e-05
395.424 3.11145e-05
422.713 3.10983e-05
450.006 4.953e-05
477.3 8.46159e-05
504.598 0.000132196
531.897 0.000186199
559.2 0.000242639
586.504 0.000302366
613.811 0.000373348
641.121 0.000467031
668.433 0.000590326
695.748 0.000731814
723.065 0.000345329
750.385 0.00017258
777.707 9.73691e-05
805.031 6.80692e-05
832.358 5.76797e-05
859.688 4.7975e-05
887.02 2.49194e-05
914.354 2.64845e-06
941.691 2.78507e-06
969.031 1.57211e-05
996.373 3.03302e-05
1023.72 4.56238e-05
