log[Age(Myr)] 3367_SFR
2.6989700043360187 1.00352e-10
2.7484376745664973 7.39436e-11
2.7979056993527007 4.95479e-11
2.8473739733267314 3.15329e-11
2.8968413524209744 2.51395e-11
2.9463092780221425 1.0705e-11
2.9957773040840703 3.45573e-12
3.045244720478147 6.10264e-13
3.0947121423588384 5.63937e-13
3.1441817643668375 5.36192e-14
3.1936476637667615 2.35685e-13
3.243117455274604 1.13999e-13
3.292583884255552 3.04254e-11
3.3420533735347466 1.02276e-10
3.3915208329544204 2.24039e-10
3.440987751476157 3.98086e-10
3.490455735894072 6.2758e-10
3.539923776965465 8.27636e-10
3.5893921410106087 6.07578e-10
3.6388594973752038 4.42986e-10
3.688328147713719 8.22029e-10
3.7377959405311976 1.34408e-09
3.7872634741087965 1.78047e-09
3.836731629478519 2.0436e-09
3.8861995939089495 2.58194e-09
3.9356674516452066 2.86696e-09
3.985135349823362 2.83521e-09
4.034604395322679 5.04616e-09
4.084071989200302 2.47279e-09
4.133538908370218 1.12146e-08
