log[Age(Myr)] 3352_SFR
2.6989700043360187 2.69343e-10
2.7484376745664973 1.10585e-10
2.7979056993527007 3.4096e-11
2.8473739733267314 3.11584e-12
2.8968413524209744 7.59699e-13
2.9463092780221425 7.76244e-12
2.9957773040840703 7.42269e-12
3.045244720478147 6.76554e-13
3.0947121423588384 5.1514e-13
3.1441817643668375 3.14316e-11
3.1936476637667615 3.73676e-14
3.243117455274604 9.53468e-15
3.292583884255552 1.28286e-14
3.3420533735347466 3.72469e-12
3.3915208329544204 5.17812e-11
3.440987751476157 1.20462e-10
3.490455735894072 1.09836e-10
3.539923776965465 1.401e-10
3.5893921410106087 4.08333e-11
3.6388594973752038 2.2584e-11
3.688328147713719 2.5818e-11
3.7377959405311976 7.67027e-10
3.7872634741087965 1.30462e-09
3.836731629478519 1.61593e-10
3.8861995939089495 2.4841e-10
3.9356674516452066 4.17349e-10
3.985135349823362 3.23973e-09
4.034604395322679 3.85569e-09
4.084071989200302 7.73979e-09
4.133538908370218 1.77532e-08
