log[Age(Myr)] 3534_MASS
2.6989700043360187 0.000555108
2.7484376745664973 0.000343907
2.7979056993527007 0.000150529
2.8473739733267314 3.47281e-06
2.8968413524209744 0.000546066
2.9463092780221425 0.00610848
2.9957773040840703 0.0150703
3.045244720478147 0.0222705
3.0947121423588384 0.0291401
3.1441817643668375 0.0463201
3.1936476637667615 0.0520586
3.243117455274604 0.0998537
3.292583884255552 0.132399
3.3420533735347466 0.203742
3.3915208329544204 0.286354
3.440987751476157 0.356423
3.490455735894072 0.52946
3.539923776965465 0.507532
3.5893921410106087 0.675953
3.6388594973752038 0.783516
3.688328147713719 0.945414
3.7377959405311976 0.823129
3.7872634741087965 0.96811
3.836731629478519 1.26508
3.8861995939089495 1.82337
3.9356674516452066 2.16057
3.985135349823362 2.37564
4.034604395322679 1.7624
4.084071989200302 3.58335
4.133538908370218 4.35218
