log[Age(Myr)] 3664_AMR
2.6989700043360187 0.0108551
2.7484376745664973 0.0140007
2.7979056993527007 0.016478
2.8473739733267314 0.0262673
2.8968413524209744 0.03264
2.9463092780221425 0.045488
2.9957773040840703 0.0261405
3.045244720478147 0.0308933
3.0947121423588384 0.0446269
3.1441817643668375 0.0257756
3.1936476637667615 0.0474612
3.243117455274604 0.047466
3.292583884255552 0.0500002
3.3420533735347466 0.0492762
3.3915208329544204 0.0499964
3.440987751476157 0.0499977
3.490455735894072 0.0499997
3.539923776965465 0.0499955
3.5893921410106087 0.0248734
3.6388594973752038 0.0499991
3.688328147713719 0.0499987
3.7377959405311976 0.0499993
3.7872634741087965 0.0500001
3.836731629478519 0.0499885
3.8861995939089495 0.0499598
3.9356674516452066 0.00819688
3.985135349823362 0.0385967
4.034604395322679 0.00412026
4.084071989200302 0.0222888
4.133538908370218 0.0218727
