log[Age(Myr)] 3269_MASS
2.6989700043360187 0.000238653
2.7484376745664973 0.000404255
2.7979056993527007 0.000637407
2.8473739733267314 0.00110674
2.8968413524209744 0.00216862
2.9463092780221425 0.00135713
2.9957773040840703 0.000501513
3.045244720478147 1.30065e-05
3.0947121423588384 0.00387233
3.1441817643668375 0.00165418
3.1936476637667615 0.0025936
3.243117455274604 0.0150757
3.292583884255552 0.0599125
3.3420533735347466 0.130848
3.3915208329544204 0.268303
3.440987751476157 0.374227
3.490455735894072 0.481668
3.539923776965465 0.559261
3.5893921410106087 0.518882
3.6388594973752038 0.556822
3.688328147713719 0.788783
3.7377959405311976 1.00056
3.7872634741087965 1.63231
3.836731629478519 1.48253
3.8861995939089495 1.94664
3.9356674516452066 1.4737
3.985135349823362 3.83344
4.034604395322679 4.92489
4.084071989200302 4.33953
4.133538908370218 4.98666
