log[Age(Myr)] 3484_AMR
2.6989700043360187 0.0119762
2.7484376745664973 0.015144
2.7979056993527007 0.0173751
2.8473739733267314 0.0275503
2.8968413524209744 0.0316477
2.9463092780221425 0.047815
2.9957773040840703 0.0455705
3.045244720478147 0.0311596
3.0947121423588384 0.0427877
3.1441817643668375 0.05
3.1936476637667615 0.0412922
3.243117455274604 0.0499838
3.292583884255552 0.0494321
3.3420533735347466 0.0455689
3.3915208329544204 0.0458523
3.440987751476157 0.049999
3.490455735894072 0.046296
3.539923776965465 0.0427108
3.5893921410106087 0.0449361
3.6388594973752038 0.0465572
3.688328147713719 0.04999
3.7377959405311976 0.05
3.7872634741087965 0.0499993
3.836731629478519 0.00799998
3.8861995939089495 0.00800003
3.9356674516452066 0.05
3.985135349823362 0.0488969
4.034604395322679 0.00820547
4.084071989200302 0.0424316
4.133538908370218 0.004
