log[Age(Myr)] 3639_AMR
2.6989700043360187 0.0137198
2.7484376745664973 0.00990945
2.7979056993527007 0.00889298
2.8473739733267314 0.00288164
2.8968413524209744 0.00326256
2.9463092780221425 0.00440085
2.9957773040840703 0.0429449
3.045244720478147 0.00337999
3.0947121423588384 0.00434604
3.1441817643668375 0.00150417
3.1936476637667615 0.00801586
3.243117455274604 0.0079854
3.292583884255552 0.00841642
3.3420533735347466 0.0126173
3.3915208329544204 0.0239628
3.440987751476157 0.0156796
3.490455735894072 0.0202626
3.539923776965465 0.0368294
3.5893921410106087 0.0211361
3.6388594973752038 0.0490943
3.688328147713719 0.0499996
3.7377959405311976 0.0500002
3.7872634741087965 0.00806686
3.836731629478519 0.0500003
3.8861995939089495 0.0499625
3.9356674516452066 0.0499992
3.985135349823362 0.0115945
4.034604395322679 0.0200321
4.084071989200302 0.0199443
4.133538908370218 0.0370247
