log[Age(Myr)] 3565_SAD
2.6989700043360187 0.000105308
2.7484376745664973 0.000220927
2.7979056993527007 0.000405255
2.8473739733267314 0.000694554
2.8968413524209744 0.00112909
2.9463092780221425 0.00321528
2.9957773040840703 0.0055757
3.045244720478147 0.00486686
3.0947121423588384 0.00753285
3.1441817643668375 0.0131692
3.1936476637667615 0.0183247
3.243117455274604 0.0232853
3.292583884255552 0.0251543
3.3420533735347466 0.0237936
3.3915208329544204 0.0403335
3.440987751476157 0.0372094
3.490455735894072 0.0442159
3.539923776965465 0.0440977
3.5893921410106087 0.045956
3.6388594973752038 0.0483699
3.688328147713719 0.0469894
3.7377959405311976 0.0390034
3.7872634741087965 0.0394891
3.836731629478519 0.0577992
3.8861995939089495 0.0633038
3.9356674516452066 0.0665105
3.985135349823362 0.0711225
4.034604395322679 0.076796
4.084071989200302 0.0777373
4.133538908370218 0.0735968
