GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,5.949364309378863,3.6836783867103566,2.6483640906567505
3269,9.98,18.923287210685324,7.621125785423754,12.381541409591573
3291,9.92,23.022187962913655,10.25425997262542,9.633250374341763
3352,10.62,1.3056496818087349,8.059296928388308,1.2424668480577254
3367,10.65,6.802175120499593,10.01800357181711,4.6108008708689265
3414,10.73,10.10886636886954,9.93630685580049,6.480548649824437
3484,10.11,7.064057552869906,17.3066337246549,4.7725150815809325
3534,9.67,18.25125111222442,8.468205358634822,12.720079120536385
3565,9.29,23.64737946493752,10.12150720212426,11.447238140104897
3639,10.6,8.445834054152158,9.305394063299783,5.252015286829957
3664,10.82,15.920693977633583,11.500431373249302,10.891207825829769
