GMP,tinf-tperi,et+,et-,Msinf-Msperi,em+,em-,logMs,elogMs
3254,4.032330987546251,1.0482711948541077,0.8676883950226748,8.319048104799318,0.5963123236081991,0.40540838644658717,9.92,0.6020599913279624
3269,3.811191472878777,1.3008281766488219,1.3332906683665926,8.16464480173086,0.69634694029941,0.5984168148516842,9.98,0.6020599913279624
3291,4.015878182255676,1.0805186932236346,1.2199912323819264,8.465464312074317,0.3789869017482541,0.35336844536336365,9.92,0.6020599913279624
3352,3.821063195528387,0.830472682796759,1.4591767601966308,8.952597921399764,0.879290211387449,0.5026989970198112,10.62,0.6020599913279624
3367,3.623608742183886,1.183598878582087,0.9119189416654407,8.828920075090515,1.0495773385139522,1.2266856758814146,10.65,0.6020599913279624
3414,3.7887376642864736,1.3165390507355883,1.8192807560804738,9.173181711863894,0.6225257000219457,0.6633423709002138,10.73,0.6020599913279624
3484,3.753661111106295,1.068843188022818,1.1411880538213914,8.278096401692277,0.3552722301282252,0.7287000420885805,10.11,0.6020599913279624
3534,3.685586190084963,0.9572681680226798,1.0067972476175897,8.004983131785051,0.23922633851960384,0.29827980426259515,9.67,0.6020599913279624
3565,3.4935563732614767,1.5863876969272592,1.3205170445665262,7.782907124388574,0.40747954667619446,0.3953903347070469,9.29,0.6020599913279624
3639,3.5316652655739293,1.0335131836481999,1.1780799190955915,9.013965068592592,0.641767954823349,0.5813365797362948,10.6,0.6020599913279624
3664,3.5043305726444576,1.34640948390566,1.5119070696662118,9.35700283604022,0.5859409560067466,1.5577178915588092,10.82,0.6020599913279624
