GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,7.243139074808669,2.105738744798762,4.447772583838065
3269,9.98,18.003565847496123,7.619010219548258,11.820066595469997
3291,9.92,22.788140407358703,9.750267579458779,10.051978497845655
3352,10.62,1.408645382278051,6.3858831148286,1.4816975026318686
3367,10.65,6.20875414550729,13.563944667239188,4.762708760393003
3414,10.73,10.133127805920171,8.944564807891396,6.031286284652405
3484,10.11,7.1842877588379706,20.436009575114554,6.090581380385222
3534,9.67,15.54671781915592,16.060020608878638,12.012993783469645
3565,9.29,20.900747656072305,12.951151004063469,14.653143785687382
3639,10.6,7.814942225511401,14.519835919359174,4.230236356036649
3664,10.82,15.196891744779634,8.667782979129328,13.64940222593571
